"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"race_originNon-Hispanic American Indian/Alaska Native",1.31269789496017,0.347694831548718,0.782538181595897,0.433898355473492,0.664058609410999,2.5949151761789
"race_originNon-Hispanic Asian or Pacific Islander",1.40273159085824,0.216600377766921,1.56242327665072,0.118188307165695,0.917495624954669,2.14459433099631
"race_originNon-Hispanic Black",1.11034037035758,0.276498107258322,0.37854367004334,0.705026758978724,0.645803679081261,1.90902557229111
"race_originNon-Hispanic Unknown Race",0.112837078784722,0.713920232495119,-3.05609812132162,0.002242378602059,0.0278459366411861,0.457237496182391
"race_originNon-Hispanic White",0.859796484906997,0.101523534992668,-1.48792655030607,0.136770264921472,0.704658468519985,1.04908977679797
"yost_catMiddle",1.06219821061906,0.0589290529225254,1.02395238703704,0.305857764443075,0.946335353011372,1.19224652767334
"yost_catLower",1.09110722833293,0.0589973846534048,1.47791274107687,0.139431135575268,0.971960840744403,1.22485900029529
"age_cat56-68",1.27022466905236,0.0598169746668616,3.99876106945359,6.36749193398259e-05,1.12970289523095,1.42822570135959
"age_cat69+",1.69509373884764,0.0564738361185511,9.34482370473932,9.20426808957545e-21,1.51748044508305,1.89349575659488
